"route_id","agency_id","route_short_name","route_long_name","route_desc","route_type","route_url","route_color","route_text_color"
"423032",,"431","Sao Bernardo do Campo (Jardim Las Palmas) / Sao Paulo (Terminal Sacoma)",,"3",,,
"423060",,"215","Ribeirao Pires (Terminal Rodoviario de Ribeirao Pires) / Suzano (Centro)",,"3",,,
"425007",,"004","Sao Bernardo do Campo (Parque Alvarenga) / Sao Paulo (Terminal Sacoma)",,"3",,,
"425057",,"117","Ribeirao Pires (Terminal Rodoviario de Ribeirao Pires) / Santo Andre (Elclor)",,"3",,,
"425098",,"381","Ribeirao Pires (Terminal Rodoviario de Ribeirao Pires) / Suzano (Baruel)",,"3",,,
"426023",,"153","Sao Bernardo do Campo (Conjunto Terra Nova II) / Sao Paulo (Terminal Sacoma)",,"3",,,
"426049",,"402","Rio Grande da Serra (Centro) / Ribeirao Pires (Terminal Rodoviario de Ribeirao Pires)",,"3",,,
"427059",,"165EX1","Rio Grande da Serra (Centro) / Sao Bernardo do Campo (Terminal Metropolitano de Sao Bernardo do Campo)",,"3",,,
"429060",,"165BI1","Santo Andre (Parque Represa Billings) / Sbc (Terminal Metropolitano de Sao Bernardo do Campo)",,"3",,,
"429095",,"381BI1","Ribeirao Pires (Terminal Rodoviario de Ribeirao Pires) / Suzano (Vila Fatima)",,"3",,,
"431051",,"165","Ribeirao Pires (Terminal Rodoviario de Ribeirao Pires) / Sao Bernardo do Campo (Terminal Metropolitano de Sao Bernardo do Campo)",,"3",,,
"432075",,"374","Rio Grande da Serra (Sitio Maria Joana) / Ribeirao Pires (Terminal Rodoviario de Ribeirao Pires)",,"3",,,
"434012",,"152","Sao Bernardo do Campo (Area Verde) / Sao Paulo (Terminal Sacoma)",,"3",,,
"434065",,"215BI1","Ribeirao Pires (Terminal Rodoviario de Ribeirao Pires / Suzano (Vila Ipelandia)",,"3",,,
"434072",,"336","Ribeirao Pires (Terminal Rodoviario de Ribeirao Pires) / Maua (Capburgo)",,"3",,,
"436020",,"063EX1","Rio Grande da Serra (Santa Tereza) / Sao Paulo (Terminal Sacoma)",,"3",,,
"436040",,"177","Ribeirao Pires (Terminal Rodoviario de Ribeirao Pires) / Santo Andre (Terminal Metropolitano Santo Andre-Leste)",,"3",,,
